solved:	true
solution_length:	90
upper_bound:	90
solution_runtime:	8.54951
heuristic_solution_length:	90
heuristic_solution_runtime:	0.0900999
heuristic_runtime:	0.835856
solving_forward:	false
reduction_is_complete:	false
reduction_quality:	0.798087
reduction_upper_bound:	93
reduction_runtime:	0.163635
mdd_memory_consumption [MB]:	0
main_process_memory_consumption [MB]:	0
match_ilp_solution_length:	90
match_ilp_upper_bound:	90
match_ilp_runtime:	7.55002
mdd_ilp_solution_length:	90
mdd_ilp_upper_bound:	90
mdd_ilp_runtime:	0.219207
solution:	[292, 368, 154, 101, 162, 145, 98, 36, 177, 297, 259, 236, 303, 224, 49, 134, 240, 375, 211, 220, 316, 141, 147, 261, 330, 252, 342, 244, 248, 208, 207, 301, 5, 281, 179, 346, 168, 319, 2, 131, 15, 304, 110, 203, 56, 8, 238, 284, 338, 318, 120, 155, 174, 46, 349, 63, 279, 199, 146, 317, 206, 322, 332, 198, 13, 79, 35, 246, 54, 53, 280, 217, 52, 37, 169, 235, 265, 108, 90, 264, 369, 77, 122, 260, 205, 379, 135, 337, 149, 6, ]
